Date(UTC),"OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
2022-02-09 20:49:17,"793406885","SLPBUSD","Limit","SELL","0.0295000000","1388.0000000000SLP","2022-02-09 21:44:25","1388.0000000000SLP","0.02950000","40.9460000000BUSD","FILLED"
2022-02-09 20:48:33,"793399898","SLPBUSD","Limit","SELL","0.0300000000","2777.0000000000SLP","2022-02-09 20:49:12","0.0000000000SLP","0E-8","0.0000000000BUSD","CANCELED"
2022-02-09 12:08:03,"234571368","SUSHIBUSD","Limit","BUY","4.5000000000","10.0000000000SUSHI","2022-02-10 13:44:05","10.0000000000SUSHI","4.50000000","45.0000000000BUSD","FILLED"
2022-02-09 12:06:41,"2665858377","ONEBUSD","Limit","SELL","0.2700000000","242.7000000000ONE","2022-02-11 18:02:22","0.0000000000ONE","0E-8","0.0000000000BUSD","CANCELED"
2022-02-09 12:06:03,"447465676","DARBUSD","Limit","SELL","1.4800000000","50.0000000000DAR","2022-02-11 18:01:48","0.0000000000DAR","0E-8","0.0000000000BUSD","CANCELED"
2022-02-09 12:05:28,"7896453176","SLPBUSD","Limit","SELL","0.0361000000","2777.0000000000SLP","2022-02-09 20:48:19","0.0000000000SLP","0E-8","0.0000000000BUSD","CANCELED"
2022-02-09 12:04:29,"21853447231","SLPUSDT","Limit","SELL","0.0400000000","2777.0000000000SLP","2022-02-09 12:04:48","0.0000000000SLP","0E-8","0.0000000000USDT","CANCELED"
2022-02-08 16:37:21,"445185682","DARBUSD","Limit","BUY","1.0300000000","50.0000000000DAR","2022-02-08 16:49:22","50.0000000000DAR","1.03000000","51.5000000000BUSD","FILLED"
2022-02-08 09:41:28,"5671769082","XVGBUSD","Limit","BUY","0.0118700000","4212.2000000000XVG","2022-02-08 09:56:33","4212.2000000000XVG","0.01187000","49.9988140000BUSD","FILLED"
2022-02-08 00:49:12,"26482033631","ONEBUSD","Limit","BUY","0.2060000000","242.7000000000ONE","2022-02-08 15:03:46","242.7000000000ONE","0.20600000","49.9962000000BUSD","FILLED"
2022-02-08 00:46:22,"77704288","SLPBUSD","Limit","BUY","0.0180000000","2777.0000000000SLP","2022-02-08 19:48:05","2777.0000000000SLP","0.01800000","49.9860000000BUSD","FILLED"
2022-02-07 16:39:03,"77525053","SLPBUSD","Limit","BUY","0.0150000000","1800.0000000000SLP","2022-02-09 20:44:59","0.0000000000SLP","0E-8","0.0000000000BUSD","CANCELED"
2022-02-07 16:39:03,"77523591053","SLPBUSD","Limit","BUY","0.0150000000","1800.0000000000SLP","2022-02-09 20:44:59","0.0000000000SLP","0E-8","0.0000000000BUSD","CANCELED"
2022-02-07 12:27:57,"7739392323","SLPBUSD","Limit","BUY","0.0125000000","1360.0000000000SLP","2022-02-07 16:38:37","0.0000000000SLP","0E-8","0.0000000000BUSD","CANCELED"
2022-02-04 10:08:46,"43228354920","BTCBUSD","Limit","BUY","37200.0000000000","0.0038100000BTC","2022-02-11 18:03:03","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-01-31 22:17:03,"1876051670","ALICEBUSD","Limit","SELL","9.0000000000","25.1200000000ALICE","2022-02-06 13:09:08","25.1200000000ALICE","9.00000000","226.0800000000BUSD","FILLED"
2022-01-31 19:13:44,"1875786714","ALICEBUSD","Limit","SELL","7.0000000000","5.1200000000ALICE","2022-01-31 19:13:52","0.0000000000ALICE","0E-8","0.0000000000BUSD","CANCELED"
2022-01-31 14:15:14,"1875154922","ALICEBUSD","Limit","SELL","7.0000000000","25.1200000000ALICE","2022-01-31 19:12:49","0.0000000000ALICE","0E-8","0.0000000000BUSD","CANCELED"
2022-01-31 11:45:48,"42932605275","BTCBUSD","Limit","SELL","37400.0000000000","0.0036100000BTC","2022-01-31 12:01:42","0.0036100000BTC","37400.00000000","135.0140000000BUSD","FILLED"
2022-01-31 11:45:24,"4011899319","ETHBUSD","Limit","SELL","2530.0000000000","0.0543000000ETH","2022-01-31 11:46:01","0.0543000000ETH","2530.00000000","137.3790000000BUSD","FILLED"
2022-01-30 08:54:42,"400200035","BUSDUSDT","Limit","BUY","0.9996000000","77.0000000000BUSD","2022-01-30 19:10:55","77.0000000000BUSD","0.99960000","76.9692000000USDT","FILLED"
2022-01-30 00:22:54,"400046822","BUSDUSDT","Limit","BUY","0.9997000000","793.0000000000BUSD","2022-01-30 04:09:15","793.0000000000BUSD","0.99970000","792.7621000000USDT","FILLED"
2022-01-30 00:22:22,"400046616","BUSDUSDT","Limit","BUY","0.9996000000","793.0000000000BUSD","2022-01-30 00:22:43","0.0000000000BUSD","0E-8","0.0000000000USDT","CANCELED"
2022-01-30 00:21:14,"886058916","AAVEUSDT","Limit","SELL","154.0000000000","0.5000000000AAVE","2022-01-30 00:23:55","0.5000000000AAVE","154.00000000","77.0000000000USDT","FILLED"
2022-01-28 21:43:35,"590585771","ALICEUSDT","Limit","SELL","7.0000000000","9.0700000000ALICE","2022-01-29 13:38:34","9.0700000000ALICE","7.00000000","63.4900000000USDT","FILLED"
2022-01-22 20:27:05,"582265219","ALICEUSDT","Limit","SELL","9.0000000000","16.0500000000ALICE","2022-01-31 11:44:51","0.0000000000ALICE","0E-8","0.0000000000USDT","CANCELED"
2022-01-22 17:08:58,"875184002","AAVEUSDT","Limit","BUY","141.0000000000","0.5000000000AAVE","2022-01-22 18:57:17","0.5000000000AAVE","141.00000000","70.5000000000USDT","FILLED"
2022-01-22 12:53:32,"7516484179","ETHUSDT","Limit","SELL","3000.0000000000","0.0543000000ETH","2022-01-31 11:44:54","0.0000000000ETH","0E-8","0.0000000000USDT","CANCELED"
2022-01-22 12:52:50,"9087588872","BTCUSDT","Limit","SELL","42000.0000000000","0.0036100000BTC","2022-01-31 11:44:53","0.0000000000BTC","0E-8","0.0000000000USDT","CANCELED"
2022-01-22 12:52:25,"874871572","AAVEUSDT","Limit","SELL","200.0000000000","0.2550000000AAVE","2022-01-31 11:44:57","0.0000000000AAVE","0E-8","0.0000000000USDT","CANCELED"
2022-01-22 12:51:13,"902808127","SUSHIUSDT","Limit","SELL","6.0000000000","10.0000000000SUSHI","2022-02-07 11:13:53","0.0000000000SUSHI","0E-8","0.0000000000USDT","CANCELED"
2022-01-22 12:49:28,"657389380","KAVAUSDT","Limit","SELL","4.4000000000","20.0000000000KAVA","2022-02-07 11:13:55","0.0000000000KAVA","0E-8","0.0000000000USDT","CANCELED"
2022-01-22 12:42:58,"581788479","ALICEUSDT","Limit","SELL","9.0000000000","18.1400000000ALICE","2022-01-28 21:43:07","0.0000000000ALICE","0E-8","0.0000000000USDT","CANCELED"
2022-01-20 14:47:51,"654353142","KAVAUSDT","Limit","BUY","4.5000000000","20.0000000000KAVA","2022-01-20 16:20:15","20.0000000000KAVA","4.50000000","90.0000000000USDT","FILLED"
2022-01-19 13:50:16,"869257678","AAVEUSDT","Limit","BUY","216.0000000000","0.2550000000AAVE","2022-01-19 13:53:28","0.2550000000AAVE","216.00000000","55.0800000000USDT","FILLED"
2022-01-19 13:49:35,"897760503","SUSHIUSDT","Limit","BUY","6.0000000000","10.0000000000SUSHI","2022-01-20 00:44:04","10.0000000000SUSHI","6.00000000","60.0000000000USDT","FILLED"
2022-01-07 16:22:34,"8900361736","BTCUSDT","Limit","BUY","40000.0000000000","0.0025000000BTC","2022-01-09 12:21:24","0.0000000000BTC","0E-8","0.0000000000USDT","CANCELED"
2022-01-06 14:47:15,"562416232","ALICEUSDT","Stop-Limit","SELL","11.8600000000","20.0000000000ALICE","2022-01-06 15:12:34","20.0000000000ALICE","11.86000000","237.2000000000USDT","FILLED"
2022-01-06 11:44:45,"562156646","ALICEUSDT","Stop-Limit","SELL","11.5900000000","20.0000000000ALICE","2022-01-06 14:46:53","0.0000000000ALICE","0E-8","0.0000000000USDT","CANCELED"
2022-01-06 11:43:44,"562155463","ALICEUSDT","Limit","BUY","11.7200000000","20.0000000000ALICE","2022-01-06 11:44:47","20.0000000000ALICE","11.72000000","234.4000000000USDT","FILLED"
